METADATA:
Database:,FAA_HOURLY
Id:,KCXY
Name:,CAPITAL CITY
County:,YORK
State:,PA
Lat:,40.220
Lon:,-76.850
Elev (ft):,340.0
Start_date:,1996-01-01
End_date:,2019-02-07


Start Date:, 2018-01-01
End Date:, 2018-12-31
Variables Requested:, datetime,num_obs,temp_avg,temp_max,temp_min,dptemp_avg,precip1hr,wgust_max,rh_avg,wspd_avg,altimeter_avg,wdir_avg,wspd_max
Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2018-01-01 00:00:00,1,12.90,12.90,12.90,-4.00,,,46.00,8.10,1028.4,290.00,8.10,
2018-01-01 01:00:00,1,14.00,14.00,14.00,-2.90,,,46.00,6.90,1028.8,290.00,6.90,
2018-01-01 02:00:00,1,12.90,12.90,12.90,-2.90,,,48.00,8.10,1028.8,290.00,8.10,
2018-01-01 03:00:00,1,14.00,14.00,14.00,-2.90,,,46.00,8.10,1029.1,300.00,8.10,
2018-01-01 04:00:00,1,14.00,14.00,14.00,-2.00,,,48.00,8.10,1029.1,300.00,8.10,
2018-01-01 05:00:00,1,12.90,12.90,12.90,-2.00,,,50.00,5.80,1029.1,300.00,5.80,
2018-01-01 06:00:00,1,12.00,12.00,12.00,-2.90,,,50.00,5.80,1029.5,310.00,5.80,
2018-01-01 07:00:00,1,10.90,10.90,10.90,-2.90,,,53.00,4.60,1029.8,310.00,4.60,
2018-01-01 08:00:00,1,6.10,6.10,6.10,-4.00,,,62.00,3.50,1029.8,260.00,3.50,
2018-01-01 09:00:00,1,5.00,5.00,5.00,-4.00,,,66.00,4.60,1030.1,280.00,4.60,
2018-01-01 10:00:00,1,9.00,9.00,9.00,-2.90,,,58.00,5.80,1030.5,290.00,5.80,
2018-01-01 11:00:00,1,3.00,3.00,3.00,-4.00,,,72.00,4.60,1030.5,260.00,4.60,
2018-01-01 12:00:00,1,3.90,3.90,3.90,-4.00,,,69.00,3.50,1031.2,250.00,3.50,
2018-01-01 13:00:00,1,10.00,10.00,10.00,-2.90,,,55.00,4.60,1031.5,240.00,4.60,
2018-01-01 14:00:00,1,15.10,15.10,15.10,-0.90,,,48.00,9.20,1031.8,310.00,9.20,
2018-01-01 15:00:00,1,17.10,17.10,17.10,-0.90,,,44.00,9.20,1031.8,310.00,9.20,
2018-01-01 16:00:00,1,19.00,19.00,19.00,1.00,,,45.00,10.40,1030.5,250.00,10.40,
2018-01-01 17:00:00,1,19.90,19.90,19.90,1.00,,19.60,43.00,12.70,1029.8,290.00,12.70,
2018-01-01 18:00:00,1,19.00,19.00,19.00,1.00,,,45.00,10.40,1029.5,300.00,10.40,
2018-01-01 19:00:00,1,19.00,19.00,19.00,0.00,,,42.00,5.80,1029.1,300.00,5.80,
2018-01-01 20:00:00,1,19.90,19.90,19.90,0.00,,,41.00,10.40,,300.00,10.40,
Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2018-01-01 21:00:00,1,18.00,18.00,18.00,0.00,,,44.00,6.90,1029.1,270.00,6.90,
2018-01-01 22:00:00,1,18.00,18.00,18.00,-2.00,,,40.00,9.20,1029.8,290.00,9.20,
2018-01-01 23:00:00,1,17.10,17.10,17.10,-2.00,,,42.00,11.50,1030.1,280.00,11.50,
2018-01-02 00:00:00,1,16.00,16.00,16.00,0.00,,20.70,48.00,16.10,1030.8,290.00,16.10,
2018-01-02 01:00:00,1,15.10,15.10,15.10,-2.90,,,44.00,11.50,1031.2,290.00,11.50,
2018-01-02 02:00:00,1,14.00,14.00,14.00,-5.10,,,42.00,9.20,1031.5,280.00,9.20,
2018-01-02 03:00:00,1,12.00,12.00,12.00,-5.10,,,45.00,4.60,1031.8,240.00,4.60,
2018-01-02 04:00:00,1,10.90,10.90,10.90,-4.00,,,50.00,8.10,1031.5,280.00,8.10,
2018-01-02 05:00:00,1,10.90,10.90,10.90,-4.00,,,50.00,8.10,1031.5,250.00,8.10,
2018-01-02 06:00:00,1,10.90,10.90,10.90,-4.00,,,50.00,6.90,1031.5,260.00,6.90,
2018-01-02 07:00:00,1,10.00,10.00,10.00,-4.00,,,52.00,6.90,1031.8,230.00,6.90,
2018-01-02 08:00:00,1,12.00,12.00,12.00,-2.90,,,50.00,9.20,1031.8,280.00,9.20,
2018-01-02 09:00:00,1,10.90,10.90,10.90,-2.00,,,55.00,6.90,1031.8,240.00,6.90,
2018-01-02 10:00:00,1,12.00,12.00,12.00,-0.90,,,55.00,8.10,1032.2,270.00,8.10,
2018-01-02 11:00:00,1,12.90,12.90,12.90,-0.90,,,53.00,10.40,1032.2,260.00,10.40,
2018-01-02 12:00:00,1,12.90,12.90,12.90,-0.90,,,53.00,12.70,1032.5,260.00,12.70,
2018-01-02 13:00:00,1,15.10,15.10,15.10,1.00,,,53.00,13.80,1032.8,260.00,13.80,
2018-01-02 14:00:00,1,18.00,18.00,18.00,1.90,,23.00,49.00,17.30,1033.2,300.00,17.30,
2018-01-02 15:00:00,1,19.00,19.00,19.00,1.90,,,47.00,11.50,1033.2,300.00,11.50,
2018-01-02 16:00:00,1,18.00,18.00,18.00,1.90,,,49.00,13.80,1032.5,260.00,13.80,
