METADATA:
Database:,FAA_HOURLY
Id:,KMUI
Name:,MUIR ARMY AIR FIELD
County:,LEBANON
State:,PA
Lat:,40.430
Lon:,-76.570
Elev (ft):,489.0
Start_date:,2007-05-01
End_date:,2019-02-07


Start Date:, 2018-01-01
End Date:, 2018-12-31
Variables Requested:, datetime,num_obs,temp_avg,temp_max,temp_min,dptemp_avg,precip1hr,wgust_max,rh_avg,wspd_avg,altimeter_avg,wdir_avg,wspd_max
Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2018-01-01 00:00:00,1,5.90,5.90,5.90,-6.50,,,56.00,0.00,1027.8,0.00,0.00,
2018-01-01 01:00:00,1,10.00,10.00,10.00,-6.30,,,47.00,8.10,1027.8,260.00,8.10,
2018-01-01 02:00:00,1,10.40,10.40,10.40,-6.00,,,47.00,4.60,1028.1,290.00,4.60,
2018-01-01 03:00:00,1,10.60,10.60,10.60,-4.90,,,49.00,0.00,1028.4,0.00,0.00,
2018-01-01 04:00:00,1,10.40,10.40,10.40,-4.70,,,50.00,4.60,1028.4,260.00,4.60,
2018-01-01 05:00:00,1,4.10,4.10,4.10,-6.50,,,60.00,4.60,1028.4,50.00,4.60,
2018-01-01 06:00:00,1,0.90,0.90,0.90,-6.20,,,72.00,0.00,1028.8,0.00,0.00,
2018-01-01 07:00:00,1,1.00,1.00,1.00,-7.10,,,68.00,0.00,1029.1,0.00,0.00,
2018-01-01 08:00:00,1,6.30,6.30,6.30,-5.10,,,59.00,3.50,1028.8,330.00,3.50,
2018-01-01 09:00:00,1,7.50,7.50,7.50,-4.90,,,56.00,6.90,1029.1,270.00,6.90,
2018-01-01 10:00:00,1,7.20,7.20,7.20,-4.90,,,57.00,5.80,1029.5,260.00,5.80,
2018-01-01 11:00:00,1,6.80,6.80,6.80,-5.30,,,57.00,10.40,1029.8,270.00,10.40,
2018-01-01 12:00:00,1,7.20,7.20,7.20,-4.90,,,57.00,9.20,1030.1,270.00,9.20,
2018-01-01 13:00:00,1,8.80,8.80,8.80,-4.50,,,54.00,6.90,1030.5,290.00,6.90,
2018-01-01 14:00:00,1,11.10,11.10,11.10,-3.50,,,51.00,5.80,1030.8,270.00,5.80,
2018-01-01 15:00:00,1,13.80,13.80,13.80,-4.50,,,43.00,6.90,1030.8,300.00,6.90,
