METADATA:
Database:,FAA_HOURLY
Id:,KSEG
Name:,SELINSGROVE
County:,SNYDER
State:,PA
Lat:,40.820
Lon:,-76.860
Elev (ft):,444.0
Start_date:,1997-01-01
End_date:,2019-02-07


Start Date:, 2018-01-01
End Date:, 2018-12-31
Variables Requested:, datetime,num_obs,temp_avg,temp_max,temp_min,dptemp_avg,precip1hr,wgust_max,rh_avg,wspd_avg,altimeter_avg,wdir_avg,wspd_max
Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2018-01-01 00:00:00,1,-0.90,-0.90,-0.90,-5.10,,,82.00,0.00,1028.4,0.00,0.00,
2018-01-01 01:00:00,1,-2.00,-2.00,-2.00,-5.10,,,86.00,0.00,1028.8,0.00,0.00,
2018-01-01 02:00:00,1,-4.00,-4.00,-4.00,-7.10,,,86.00,0.00,1029.1,0.00,0.00,
2018-01-01 03:00:00,1,-2.90,-2.90,-2.90,-6.00,,,86.00,0.00,1029.5,0.00,0.00,
2018-01-01 04:00:00,1,-2.90,-2.90,-2.90,-6.00,,,86.00,3.50,1029.8,310.00,3.50,
2018-01-01 05:00:00,1,-5.10,-5.10,-5.10,-7.10,,,91.00,0.00,1029.5,0.00,0.00,
2018-01-01 06:00:00,1,-5.10,-5.10,-5.10,-8.00,,,87.00,0.00,1029.8,0.00,0.00,
2018-01-01 07:00:00,1,-6.00,-6.00,-6.00,-9.00,,,86.00,0.00,1029.8,0.00,0.00,
2018-01-01 08:00:00,1,-7.10,-7.10,-7.10,-9.90,,,87.00,0.00,1029.8,0.00,0.00,
2018-01-01 09:00:00,1,-8.00,-8.00,-8.00,-11.00,,,86.00,3.50,1030.1,310.00,3.50,
2018-01-01 10:00:00,1,-8.00,-8.00,-8.00,-11.00,,,86.00,0.00,1030.5,0.00,0.00,
2018-01-01 11:00:00,4,-8.38,-7.10,-9.40,-11.55,,,85.25,1.75,1030.6,165.00,3.50,
2018-01-01 12:00:00,1,-8.00,-8.00,-8.00,-11.00,,,86.00,0.00,1031.2,0.00,0.00,
2018-01-01 13:00:00,4,-4.28,-2.00,-6.00,-6.03,,,92.00,0.00,1031.2,0.00,0.00,
2018-01-01 14:00:00,2,2.60,6.10,-0.90,-0.95,,,85.00,2.30,1031.3,75.00,4.60,
2018-01-01 15:00:00,1,10.90,10.90,10.90,1.90,,,66.00,4.60,1031.2,140.00,4.60,
2018-01-01 16:00:00,1,15.10,15.10,15.10,3.00,,,58.00,4.60,1029.8,,4.60,
2018-01-01 17:00:00,1,17.10,17.10,17.10,1.90,,,51.00,5.80,1029.1,300.00,5.80,
2018-01-01 18:00:00,1,17.10,17.10,17.10,3.00,,,53.00,8.10,1028.4,270.00,8.10,
2018-01-01 19:00:00,1,19.00,19.00,19.00,3.90,,,51.00,4.60,1028.1,260.00,4.60,
2018-01-01 20:00:00,1,17.10,17.10,17.10,3.00,,17.30,53.00,11.50,1028.4,260.00,11.50,
Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2018-01-01 21:00:00,1,16.00,16.00,16.00,3.00,,,56.00,6.90,1028.4,,6.90,
2018-01-01 22:00:00,1,15.10,15.10,15.10,3.90,,,61.00,6.90,1028.8,260.00,6.90,
2018-01-01 23:00:00,1,14.00,14.00,14.00,3.90,,,64.00,8.10,1029.5,260.00,8.10,
2018-01-02 00:00:00,1,14.00,14.00,14.00,1.90,,16.10,58.00,6.90,1029.8,280.00,6.90,
2018-01-02 01:00:00,1,12.90,12.90,12.90,-0.90,,17.30,53.00,9.20,1030.5,270.00,9.20,
2018-01-02 02:00:00,1,12.00,12.00,12.00,-0.90,,17.30,55.00,8.10,1030.5,280.00,8.10,
2018-01-02 03:00:00,1,10.90,10.90,10.90,-0.90,,,58.00,5.80,1030.8,,5.80,
