METADATA:
Database:,FAA_HOURLY
Id:,KUNV
Name:,UNIVERSITY PARK
County:,CENTRE
State:,PA
Lat:,40.850
Lon:,-77.850
Elev (ft):,1240.0
Start_date:,1983-09-28
End_date:,2019-02-07


Start Date:, 2018-01-01
End Date:, 2018-12-31
Variables Requested:, datetime,num_obs,temp_avg,temp_max,temp_min,dptemp_avg,precip1hr,wgust_max,rh_avg,wspd_avg,altimeter_avg,wdir_avg,wspd_max
Date/Time (GMT),Number of Observations (n/a),Average Temp (F),Max Temp (F),Min Temp (F),Average Dewpoint Temp (F),1 Hour Precip (in),Max Wind Gust (mph),Average Relative Humidity (%),Average Wind Speed (mph),Average Station Pressure (mb),Average Wind Direction (deg),Max Wind Speed (mph),
2018-01-01 00:00:00,1,8.60,8.60,8.60,-0.40,,,66.00,9.20,1026.4,320.00,9.20,
2018-01-01 01:00:00,1,8.60,8.60,8.60,-0.40,,,66.00,9.20,1026.4,320.00,9.20,
2018-01-01 02:00:00,1,8.60,8.60,8.60,-0.40,,,66.00,4.60,1026.8,320.00,4.60,
2018-01-01 03:00:00,3,7.27,7.30,7.20,-0.20,,,70.67,5.03,1027.0,316.67,5.80,
2018-01-01 04:00:00,3,7.03,7.50,6.60,-1.07,,,69.00,5.40,1027.1,310.00,5.80,
2018-01-01 05:00:00,3,6.67,6.80,6.40,-1.50,,,68.67,7.70,1027.1,306.67,8.10,
2018-01-01 06:00:00,3,5.90,6.10,5.50,-1.97,,,69.67,4.60,1027.1,306.67,4.60,
2018-01-01 07:00:00,3,5.83,5.90,5.70,-2.07,,,69.00,4.63,1027.4,296.67,5.80,
2018-01-01 08:00:00,3,5.60,5.70,5.40,-2.13,,,69.67,2.70,1027.5,216.67,4.60,
2018-01-01 09:00:00,3,5.37,5.50,5.20,-2.07,,,70.67,1.17,1027.8,103.33,3.50,
2018-01-01 10:00:00,3,3.67,5.00,1.40,-2.87,,,73.33,0.00,1027.8,0.00,0.00,
2018-01-01 11:00:00,1,1.40,1.40,1.40,-2.20,,,84.00,0.00,1028.1,0.00,0.00,
2018-01-01 12:00:00,1,1.40,1.40,1.40,-2.20,,,84.00,0.00,1028.4,0.00,0.00,
2018-01-01 13:00:00,1,1.40,1.40,1.40,-2.20,,,84.00,0.00,1028.4,0.00,0.00,
2018-01-01 14:00:00,1,1.40,1.40,1.40,-2.20,,,84.00,0.00,1028.4,0.00,0.00,
2018-01-01 15:00:00,1,12.20,12.20,12.20,3.20,,,67.00,8.10,1028.8,240.00,8.10,
2018-01-01 16:00:00,1,12.20,12.20,12.20,3.20,,,67.00,10.40,1027.8,240.00,10.40,
2018-01-01 17:00:00,1,14.00,14.00,14.00,1.40,,,57.00,11.50,1026.8,260.00,11.50,
2018-01-01 18:00:00,2,14.00,14.00,14.00,1.40,,,57.00,14.40,1026.6,260.00,17.30,
