Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
1,Abilene Christian,31,13,18,0.419,-7.53,8,10,2209,2272,771,1704,0.452,209,570,0.367,458,653,0.701,269,991,422,233,78,418,681
2,Air Force,32,14,18,0.438,0.66,5,13,2189,2330,752,1758,0.428,202,596,0.339,483,707,0.683,283,1107,420,196,58,423,617
3,Akron,35,26,9,0.743,-1.24,13,5,2682,2381,911,2111,0.432,409,1069,0.383,451,659,0.684,373,1310,507,190,137,381,618
4,Alabama A&M,29,11,18,0.379,-10.75,6,12,1974,2042,681,1632,0.417,175,599,0.292,439,642,0.684,330,1000,366,163,61,340,561
5,Alabama-Birmingham,33,26,7,0.788,-3.07,16,2,2606,2323,942,1970,0.478,250,671,0.373,472,654,0.722,366,1259,607,213,201,414,579
6,Alabama State,31,14,17,0.452,-9.35,9,9,2217,2308,788,1918,0.411,215,647,0.332,426,623,0.684,389,1153,372,181,107,371,646
7,Alabama,33,18,15,0.545,8.62,8,10,2193,2242,738,1750,0.422,259,763,0.339,458,712,0.643,327,1141,347,192,175,438,631
8,Albany (NY),33,24,9,0.727,-7.57,13,3,2495,2180,848,1850,0.458,188,587,0.32,611,814,0.751,387,1276,410,216,52,413,581
9,Alcorn State,30,15,15,0.5,-9.94,13,5,2014,2164,691,1692,0.408,174,566,0.307,458,676,0.678,384,1072,272,134,111,429,548
10,American,31,12,19,0.387,-6.08,9,9,1785,2036,631,1487,0.424,195,572,0.341,328,471,0.696,218,874,348,176,69,428,566
11,Appalachian State,31,9,22,0.29,-1.1,7,13,2187,2398,719,1795,0.401,256,720,0.356,493,701,0.703,393,1142,357,127,103,462,666
12,Arizona State,32,15,17,0.469,8.96,5,13,2345,2367,796,1919,0.415,254,757,0.336,499,726,0.687,394,1177,405,170,86,384,649
13,Arizona NCAA,34,25,9,0.735,7.23,12,6,2735,2342,946,1970,0.48,221,580,0.381,622,863,0.721,394,1368,485,164,161,442,621
14,Little Rock NCAA,35,30,5,0.857,-1.76,17,3,2487,2129,886,1958,0.453,266,693,0.384,449,616,0.729,315,1195,451,230,106,355,640
15,Arkansas-Pine Bluff,33,8,25,0.242,-5.52,6,12,1867,2322,674,1722,0.391,202,666,0.303,317,519,0.611,322,1004,317,235,123,516,723
16,Arkansas State,31,11,20,0.355,-2.37,7,13,2282,2353,770,1873,0.411,180,570,0.316,562,766,0.734,334,1243,381,157,136,398,613
17,Arkansas,32,16,16,0.5,6.76,9,9,2501,2390,883,1992,0.443,216,544,0.397,519,748,0.694,374,1187,518,233,165,357,687
18,Army,33,19,14,0.576,-8.13,9,9,2539,2474,895,2084,0.429,294,877,0.335,455,656,0.694,408,1338,501,163,123,448,628
19,Auburn,31,11,20,0.355,7.54,5,13,2192,2421,724,1820,0.398,272,799,0.34,472,746,0.633,346,1134,352,166,126,428,658
20,Austin Peay NCAA,36,18,18,0.5,-2.98,7,9,2740,2765,945,2049,0.461,223,645,0.346,627,936,0.67,422,1326,479,250,101,502,633
21,Ball State,35,21,14,0.6,-2.98,10,8,2479,2338,855,1919,0.446,305,818,0.373,464,670,0.693,330,1275,512,191,126,465,665
22,Baylor NCAA,34,22,12,0.647,9.76,10,8,2621,2366,933,2003,0.466,210,572,0.367,545,752,0.725,467,1267,603,269,135,432,660
23,Belmont,32,20,12,0.625,-2.1,12,4,2638,2510,914,1849,0.494,338,931,0.363,472,650,0.726,271,1105,544,145,81,450,639
24,Bethune-Cookman,32,14,18,0.438,-9.18,10,6,2258,2330,799,1932,0.414,249,787,0.316,411,597,0.688,407,1186,371,197,191,415,601
25,Binghamton,30,8,22,0.267,-6.35,5,11,1827,2059,629,1614,0.39,171,599,0.285,398,584,0.682,273,1023,333,161,68,419,558
26,Boise State,32,20,12,0.625,3.13,11,7,2480,2246,842,1859,0.453,261,788,0.331,535,755,0.709,315,1110,430,209,64,372,622
27,Boston College,32,7,25,0.219,7.67,0,18,1959,2256,717,1752,0.409,230,708,0.325,295,453,0.651,243,993,410,181,93,431,576
28,Boston University,34,19,15,0.559,-6.37,11,7,2483,2464,859,1893,0.454,272,748,0.364,493,688,0.717,311,1216,456,204,129,468,641
29,Bowling Green State,34,16,18,0.471,-1.85,5,13,2400,2457,849,1913,0.444,203,563,0.361,499,761,0.656,345,1238,398,209,113,430,655
30,Bradley,32,5,27,0.156,3.7,3,15,1793,2238,606,1596,0.38,165,590,0.28,416,628,0.662,276,1083,292,142,87,548,744
31,Brigham Young,37,26,11,0.703,2.36,13,5,3093,2692,1096,2369,0.463,330,863,0.382,571,827,0.69,441,1514,611,256,161,434,690
32,Brown,28,8,20,0.286,-2.82,3,11,2040,2155,697,1625,0.429,225,639,0.352,421,600,0.702,272,1019,414,150,114,376,543
33,Bryant,31,8,23,0.258,-6.71,5,13,2018,2361,755,1798,0.42,198,615,0.322,310,482,0.643,300,1048,415,176,83,420,591
34,Bucknell,31,17,14,0.548,-5.89,14,4,2448,2288,831,1788,0.465,233,639,0.365,553,774,0.714,317,1137,489,204,100,423,657
35,Buffalo NCAA,35,20,15,0.571,0.9,10,8,2709,2634,915,2096,0.437,263,776,0.339,616,867,0.71,425,1363,441,240,124,475,748
36,Butler NCAA,33,22,11,0.667,7.55,10,8,2638,2344,918,1969,0.466,236,601,0.393,566,774,0.731,366,1188,468,227,107,335,646
37,Cal Poly,30,10,20,0.333,0.9,4,12,2171,2255,755,1812,0.417,238,681,0.349,423,626,0.676,351,1095,425,163,96,308,602
38,Cal State Bakersfield NCAA,33,24,9,0.727,-5.15,11,3,2405,2104,875,1939,0.451,179,524,0.342,476,726,0.656,414,1263,516,263,165,405,707
39,Cal State Fullerton,30,10,20,0.333,-0.76,3,13,2104,2227,698,1703,0.41,193,582,0.332,515,743,0.693,335,1116,304,147,48,393,610
40,Cal State Northridge,30,10,20,0.333,-0.85,5,11,2143,2261,745,1723,0.432,126,425,0.296,527,735,0.717,303,1086,423,203,96,420,604
41,UC-Davis,30,11,19,0.367,-1.26,6,10,1914,1980,697,1608,0.433,164,463,0.354,356,557,0.639,255,1033,342,186,49,427,531
42,UC-Irvine,38,28,10,0.737,0.77,13,3,2706,2512,977,2128,0.459,241,652,0.37,511,752,0.68,370,1416,568,217,198,471,706
43,UC-Riverside,33,14,19,0.424,-3.08,5,11,2299,2300,788,1839,0.428,252,716,0.352,471,670,0.703,328,1164,410,170,101,433,654
44,UC-Santa Barbara,33,19,14,0.576,1.44,11,5,2335,2219,859,1944,0.442,251,697,0.36,366,522,0.701,344,1235,496,195,98,419,647
45,University of California NCAA,34,23,11,0.676,7.87,12,6,2545,2289,890,1931,0.461,236,651,0.363,529,806,0.656,386,1349,430,139,159,419,706
46,Campbell,30,12,18,0.4,-6.67,5,13,2207,2203,744,1671,0.445,224,675,0.332,495,690,0.717,242,967,345,214,72,353,582
47,Canisius,33,14,19,0.424,-3.77,8,12,2526,2587,845,2014,0.42,285,836,0.341,551,744,0.741,393,1116,466,199,88,370,640
48,Central Arkansas,28,7,21,0.25,-6.81,6,12,2110,2344,734,1656,0.443,185,497,0.372,457,694,0.659,331,1044,370,152,104,407,575
49,Central Connecticut State,29,4,25,0.138,-9.24,3,15,1888,2268,682,1704,0.4,164,480,0.342,360,530,0.679,335,1046,341,127,107,402,505
50,Central Florida,30,12,18,0.4,3.01,6,12,2062,2147,715,1663,0.43,207,650,0.318,425,619,0.687,329,1166,379,137,139,440,467
51,Central Michigan,33,17,16,0.515,-1.3,10,8,2495,2401,867,1964,0.441,324,917,0.353,437,608,0.719,325,1152,441,155,90,303,608
52,Charleston Southern,30,9,21,0.3,-2.59,5,13,2146,2253,774,1808,0.428,280,810,0.346,318,512,0.621,308,1053,379,153,63,378,576
53,Charlotte,33,14,19,0.424,-1.72,9,9,2584,2631,920,2066,0.445,266,696,0.382,478,685,0.698,374,1196,481,204,73,396,588
54,Chattanooga NCAA,35,29,6,0.829,-3.46,15,3,2652,2364,897,1963,0.457,262,729,0.359,596,811,0.735,381,1241,504,272,165,437,596
